groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
RUVBL1	ALKBH7	0.564161	0.558869
OGN	UCKL1	0.564817	0.558912
PLS1	UTP3	0.565009	0.559542
DPP3	MAN2A2	0.5653	0.559618
SH3GL1	SUCNR1	0.565877	0.560751
GAPVD1	TIAL1	0.566032	0.560938
HINT3	CUL2	0.56618	0.561423
UGGT1	ANGPTL4	0.566507	0.561691
RPS6KA3	TNIP1	0.566525	0.561794
EMILIN1	CAMSAP3	0.566646	0.561895
COQ6	SLC5A1	0.567021	0.562296
PKN2	ARHGEF2	0.567042	0.563361
AP3M1	MIB1	0.567665	0.564203
PGM2	PSMD10	0.5678	0.56461
ATP2B1	SLC2A1	0.568217	0.564998
GFPT1	PTPN9	0.569019	0.565634
AGT	PEX7	0.56909	0.566252
KTN1	DYM	0.570827	0.567767
NUTF2	ARHGEF1	0.571125	0.567806
DNAJC11	ELMOD3	0.571219	0.567925
THEM4	SLTM	0.571445	0.567957
HSCB	TANC1	0.571691	0.568009
TIMM9	AAGAB	0.572227	0.568029
RMND1	PRPF40A	0.572601	0.568109
TPD52L2	DVL3	0.572638	0.568246
CRYM	SLC41A1	0.572942	0.568961
ALDH1A1	SMARCE1	0.573119	0.569395
SORBS3	KDM1A	0.57387	0.570112
PALLD	RNF166	0.573958	0.570278
TJP2	TOP3B	0.573977	0.570435
SNRPA	MAPK8IP1	0.57456	0.571051
ACSL3	LSM3	0.575073	0.571077
SLC44A2	ELL2	0.575788	0.571285
CRIP1	CNOT6	0.57589	0.571584
LRRFIP1	VGLL4	0.575902	0.573111
XPO1	FRMD4B	0.575931	0.573342
RAB3GAP1	SLC51A	0.577095	0.573466
RBM8A	UBA5	0.577493	0.573651
COPG2	RNASEH2C	0.577794	0.574488
RHBG	ANKRD11	0.578049	0.574794
ACTN1	ANAPC7	0.578257	0.574936
CMAS	RANBP3	0.578766	0.575478
ARRB1	FSTL1	0.579521	0.576259
ACSF2	RCHY1	0.580227	0.576876
EHD3	WDR55	0.580639	0.577688
FAF2	RPF1	0.580695	0.57784
SF3A3	PIGO	0.581725	0.578058
UCHL5	DYRK2	0.583849	0.578891
PDCD10	PCM1	0.583866	0.579319
CTSC	JUNB	0.584736	0.579811
FUOM	TMEM178A	0.58495	0.579988
DCTN4	HIF1AN	0.58521	0.580441
DDO	NUP214	0.585592	0.581164
ISCA2	ATL2	0.586425	0.581379
PTPN23	GIGYF1	0.586634	0.581568
TMOD3	GLIS3	0.587439	0.581838
PDGFRB	LETMD1	0.587897	0.582259
GART	PIK3R1	0.588565	0.582735
OPTN	CRBN	0.589026	0.582995
ATPAF1	XPR1	0.589036	0.584103
RBM25	ZFYVE1	0.589362	0.585849
HMGB3	SEMA4A	0.590107	0.58634
EIF2S1	SLC35F2	0.590194	0.586731
ERAP1	COL1A2	0.590333	0.58699
PRMT1	EXOSC10	0.590523	0.587688
EFTUD2	ARRDC1	0.59128	0.587784
PPP3CA	ATXN1L	0.591292	0.588162
GNAQ	EML3	0.592131	0.588462
LTA4H	DOCK1	0.59215	0.589053
CSK	BOP1	0.592999	0.589073
NSF	ELOVL7	0.593196	0.589081
MACF1	ATP6V0E1	0.594122	0.589265
SYNCRIP	TRAPPC9	0.594561	0.58952
FBL	CDR2	0.594615	0.589886
PTK2	RSRC2	0.594862	0.590896
EEA1	RASSF7	0.595343	0.590953
PAFAH1B2	SMARCD2	0.59629	0.59152
TNPO3	SLU7	0.5966	0.592879
SF3B3	SLC20A1	0.597371	0.593181
ITGA3	MFHAS1	0.597478	0.593253
LAMC1	GHDC	0.598096	0.593274
GNL1	ELP3	0.599005	0.593896
TIMM10	GYS1	0.599212	0.594065
HMBS	RAB28	0.600331	0.594604
PDCD5	KCTD17	0.602045	0.597368
EMD	ZBTB4	0.602211	0.597797
SH3BGRL	SUDS3	0.602583	0.598574
SEH1L	SBF2	0.602587	0.598814
D2HGDH	DUSP22	0.602661	0.598987
SLC12A2	NUDT2	0.602761	0.600115
PGP	ATRNL1	0.603009	0.600481
GOSR1	CETN3	0.603014	0.600543
KRT18	NDUFAF1	0.603849	0.600548
VPS4B	SLC22A23	0.604767	0.601631
LEMD2	DDIT4	0.605126	0.603406
