gene	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
IFT22	-0.16204386999284104	-0.26101115606207514	-0.09587510557370482	0.09603068449842578	0.14548181543775263	0.37855220744203244	0.28399353430278884	0.2079831176266378	-0.09868190474027472	-0.2706160685624388	-0.4195222971101442	-0.39671123648917916	0.3416460077223906	0.3356196206263018	0.1332705375481531	0.04304569089872867
IFT27	0.053430348627914626	-0.11035227710433793	-0.09591823273645073	0.2778322886055058	-0.02786453541422418	0.5352691095708946	0.47068231039888575	0.2406344431818641	0.023160307510889044	0.2662101498428604	0.6368400116948223	0.3547465577778497	0.8088720796464335	0.6481763445923008	0.3496764987624883	-0.11609506607488562
IFT43	-0.16475944327366898	-0.05023060955674952	0.027158383040557954	0.555105197265525	0.23229813242833508	0.9644575007650316	0.6059844808623764	0.01492614448596763	-0.1192213143038221	0.8063287208584748	0.7673212698702843	0.5708714650406801	0.9482986331451144	0.47735602607264926	0.21394764458146298	0.1052642117804874
IFT46	0.31526707490411265	0.3905638820435584	0.5649775664541901	0.748101942068768	0.11964277162229431	0.48573012104249225	0.3302719551440654	-0.12521748067549243	-0.22624425889812017	-0.1878637367948226	0.12658653670473496	0.2550853291386601	0.2959965365921704	0.21273506140376552	0.07169746580036129	0.10779781217360229
IFT52	-0.19603236520944556	-0.35302013704537405	-0.1511979854587997	-0.015119291230998755	-0.07364220008809674	0.13784767785235053	0.1168631039969581	-0.26393846145983346	-0.3549172381456627	-0.13040708240348753	-0.4573023609708322	-0.4341560847697785	-0.016536475024220287	-0.06067936319156608	-0.005947960131162944	-0.06928768200126623
IFT56	-0.509176200096122	-0.5361414176738184	-0.32138201819187895	-0.36207061591411804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFT57	-0.11217093740297024	-0.09980565763607974	0.05584856863550236	0.016266908555716775	0.0966863891791312	0.18588930229403822	0.11916342390255075	-0.5946801987659427	-0.043242362373427046	-0.058719990181175685	-0.20155317663504713	-0.09415655861255479	0.16736778938963104	-0.3675401498673714	0.03961351426904125	-0.025539621762120657
IFT74	0.01124963784424926	0.09690342745251801	0.33468663018771183	0.14001907412154235	0.19876057949147885	0.8194302349338631	0.6034428947546187	-0.9799148050580335	-0.48732205477971213	0.06785902303630253	-0.028763424025113338	-0.14839715730449665	0.26220170211030736	-1.1939733672677622	0.1847304721333476	-0.10463332277154169
IFT80	-0.439765950023034	-0.27592039317698935	-0.31467366708134037	-0.5640734930876419	0.19890964111349452	0.413756677201639	0.04809848052371701	-0.350824425178901	-0.22827546620490557	-0.004368755689681647	-0.2390056247904866	-0.251680885309439	0.2690722898830731	-0.1645892506609714	0.3133708218384508	-0.11184378445728327
IFT81	-0.17083129042316703	-0.16450375723607014	0.19677223902230967	0.07407787833535373	0.17559350626303738	0.49795154641273087	0.2482932277585823	-0.8328672144358058	-0.34130475078220046	-0.052229212919261414	-0.3741943762266935	-0.3330439857663272	0.409271918334142	-0.9673918529116068	0.20605950962178632	-0.06238215661249846
