	cat_ctx_control	podtreck_control	iri_young_sham
AA543186	NA	NA	0.6827386735121198
AA987161	NA	NA	2.0418456295260623
AAAS	4.244367703945698	1.8205064867959255	3.3120897600027654
AACS	5.7228068776583045	4.840595730960558	6.266921292251388
AADAC	NA	6.263705095213072	6.941724086818226
AADAT	6.430509202855433	5.689810674586944	7.884905466332548
AAED1	NA	NA	4.849137820495666
AAGAB	5.017124452944144	2.4541098737046103	4.328195508219885
AAK1	4.669602498964182	1.6576417097514247	1.8689535455676234
AAMDC	4.454175298420064	2.636422658759429	5.138407015366042
AAMP	6.337497513485535	4.852021138565331	5.748931218155367
AAR2	4.153887712096875	1.886525057248886	3.3249419178303845
AARS	NA	3.0695003885545566	4.818206659355659
AARS1	6.615513951980874	NA	NA
AARS2	5.248449901593072	1.8745616310425095	3.2865779778594604
AARSD1	NA	3.0058137603076074	NA
AASDH	4.023449100479024	NA	1.9014979242850087
AASDHPPT	5.7042066331145875	3.0580525323039027	3.7095869650980844
AASS	6.04882274661536	5.845055445093794	7.714717228943268
AATF	4.519532869453767	2.6828767727225205	3.349262487027616
AATK	6.293262519354929	NA	NA
ABAT	10.601680442897358	5.290665002390472	6.758038144753901
ABCA1	4.535116682394668	1.3388322682785414	2.3904214535205752
ABCA10	-1.8476412428629965	NA	NA
ABCA13	2.61193095867605	3.202295321427242	3.566708631889604
ABCA2	6.9690304037707635	2.6167173033535285	3.853162748865016
ABCA3	8.39788898482607	5.201346305234323	6.550891840118425
ABCA4	3.2915083488117136	NA	1.2790033531571192
ABCA5	3.1756684102399984	1.1821046564256725	2.0444453610468973
ABCA6	3.397041954164678	NA	NA
ABCA7	NA	1.2367501913701686	2.0836626734714945
ABCA8	4.006948158513465	0.4167924721892627	NA
ABCA8A	NA	1.2805533246139644	2.036167493532836
ABCA9	4.602219390792762	1.026761349681112	1.3307996706350613
ABCB1	2.9817232064785286	NA	NA
ABCB10	5.169569040970387	2.7930836339632603	3.6265189973047516
ABCB1A	NA	1.1931710611509618	1.2430306033409049
ABCB1B	NA	1.0050456775223717	1.543368467605492
ABCB6	5.36175992000447	2.7531626171377526	NA
ABCB7	5.6797818443617	3.6324991759148344	3.741239830468452
ABCB8	5.407453877118436	3.0913467170797664	4.892210428477904
ABCB9	3.0386784493740415	0.9211796736891392	2.074782608254743
ABCC1	5.6571901506622	0.9911322733939354	2.252939477149635
ABCC10	3.8275930127262776	0.90069131351439	2.1954787644180995
ABCC11	1.7750627187403527	NA	NA
ABCC2	3.9906089317662095	4.223415311621438	6.06411328564984
ABCC3	NA	0.36229011294388563	NA
ABCC4	3.7327090758699835	2.4474480973311237	3.0748254206078536
ABCC5	6.441730346545001	1.410636313022861	3.2166094557949303
ABCC6	4.770990468836593	1.174268124633322	2.1316920145703206
ABCC9	3.578571322816842	1.4898227053883442	1.70272840157501
ABCD1	5.528681073960418	1.5936348853114535	2.7475312174936697
ABCD2	NA	0.28658049633169225	NA
ABCD3	8.011793422844574	5.462511903076805	7.277790660497527
ABCD4	5.786178030460616	1.705130874356998	4.088938529312389
ABCE1	5.388383841242369	3.700124327951164	4.80040602797456
ABCF1	6.263171515006018	3.86028787596045	4.720542860120151
ABCF2	5.478875085511697	3.613333454117946	4.659280115872929
ABCF3	5.986941864665149	3.1877050904101742	4.062990350003775
ABCG1	2.4518685580258617	0.693226824818861	1.604576828432391
ABCG2	2.8176881313370923	0.18419964267963637	7.700182893859124
ABCG4	0.34205330797001654	NA	NA
ABHD1	-0.11087484978264477	1.2973285274425177	NA
ABHD10	2.3906059345153334	1.8096043027652213	2.12677307460667
ABHD11	5.2045624660715974	3.8217781864744427	5.240983826714965
ABHD11OS	NA	2.248259061102193	3.363391418426133
ABHD12	5.332113695007631	3.624509847816172	4.882262308929132
ABHD13	3.949934696632057	2.604269260418723	3.229160217141523
ABHD14A	NA	3.654772606370777	5.114919151400007
ABHD14B	8.192563144023387	5.595282847002597	6.944453293754343
ABHD15	4.968616397480559	0.5759759818898996	0.9613850818870596
ABHD16A	6.255895942599184	3.976610631668373	5.670266670748298
ABHD17A	6.200770486480484	4.4945069560709845	6.267208437549722
ABHD17B	3.4312226272067416	3.2108938542447505	4.04944568177694
ABHD17C	5.19568903982628	4.199600537686877	6.124198326473491
ABHD18	4.019801100652903	1.2630679833607799	NA
ABHD2	7.821570491115829	3.7194495372012804	4.965262687662623
ABHD3	4.4337219202541105	5.066050039186519	5.942866904041448
ABHD4	5.404499351835359	3.5075674645606676	4.8374128374251
ABHD5	8.397059905578676	3.2499192548506315	4.149912611561618
ABHD6	3.2454644611340036	2.018545390442593	3.7568019854060064
ABHD8	4.974230532208562	1.585397497691468	3.266436506851779
ABI1	5.945644102252202	3.482912622945401	4.307051958643079
ABI2	4.404755632480817	1.7253221131767253	2.0451146232638178
ABI3	3.0185796613545217	0.6852058938258919	NA
ABI3BP	4.2679196895658	0.6574568572549193	0.9164042804518835
ABITRAM	5.141917571667737	1.1080927536311203	NA
