gene	cat_CKD34	mouse_2W
2700081O15RIK	NA	0.0648815543177407
2700097O09RIK	NA	0.06035200852232933
2700099C18RIK	NA	0.05573046926496149
2810001G20RIK	NA	0.10074907824778767
2810002D19RIK	NA	0.08191384206715079
2810004N23RIK	NA	0.06422102681206009
2810006K23RIK	NA	0.07090833199237152
2810013P06RIK	NA	0.10925794911447759
2810021J22RIK	NA	0.05901300305715869
2810025M15RIK	NA	0.08472492582389603
2810029C07RIK	NA	0.1862249672380947
2810402E24RIK	NA	0.08641734181016156
2810405F17RIK	NA	0.07054630156305741
2810408A11RIK	NA	0.05766203293034939
2810410L24RIK	NA	0.08329248196771952
2810414N06RIK	NA	0.07473404584890679
2900052L18RIK	NA	0.09899339638462132
2900076A07RIK	NA	0.07315969975591123
2900093K20RIK	NA	0.08697664521122425
3010003L21RIK	NA	0.0574282014282069
3110001I22RIK	NA	0.0927247214820091
3110045C21RIK	NA	0.05532023479853424
3110053B16RIK	NA	0.0639275813014871
3110056K07RIK	NA	0.05780230412040671
3110082I17RIK	NA	0.0693939479016388
3300002I08RIK	NA	0.09896474842617828
3830406C13RIK	NA	0.04683241281920404
4632415L05RIK	NA	0.06818973374161864
4732463B04RIK	NA	0.070472158688369
4732465J04RIK	NA	0.05758186477513598
4732491K20RIK	NA	0.098101973114309
4833403J16RIK	NA	0.08226737846316151
4833408A19RIK	NA	0.11667994807276355
4833413G10RIK	NA	0.06731262914347397
4833419F23RIK	NA	0.11909996934147242
4833438C02RIK	NA	0.07938517807981244
4930402H24RIK	NA	0.07584583226415191
4930426D05RIK	NA	0.10176643728912817
4930430F08RIK	NA	0.04868248065915947
4930461G14RIK	NA	0.17754656165158314
4930466K18RIK	NA	0.10671680621474343
4930469K13RIK	NA	0.09367819837587574
4930481A15RIK	NA	0.12062561740768583
4930513N10RIK	NA	0.08796287517565302
4930522L14RIK	NA	0.10821882881516161
4931428F04RIK	NA	0.08209594602245206
4932438A13RIK	NA	0.07749775938409555
4933412E12RIK	NA	0.0770046022598487
4933421O10RIK	NA	0.06856587792204955
4933431E20RIK	NA	0.052040982629623936
4933439C10RIK	NA	0.08674457557182869
5031425E22RIK	NA	0.05430226952778571
5033430I15RIK	NA	0.07331844640344456
5730437C11RIK	NA	0.27785298500017236
5830417I10RIK	NA	0.06551375249017898
5830448L01RIK	NA	0.06726967206875911
5830454E08RIK	NA	0.09034096263807885
5S_RRNA	NA	0.20915152213127655
6330403L08RIK	NA	0.0687914931992091
6330418K02RIK	NA	0.1482115689205461
6330562C20RIK	NA	0.059528278210684404
6530402F18RIK	NA	0.054424545241847616
6720427I07RIK	NA	0.04982566661759
6820431F20RIK	NA	0.051930274552242216
7SK	NA	0.13640866807225496
8030462N17RIK	NA	0.05663474029958532
8430422M14RIK	NA	0.0829341840362966
8430429K09RIK	NA	0.060963331939977605
9030025P20RIK	NA	0.06806765443485319
9030407P20RIK	NA	0.08038517628250595
9030619P08RIK	NA	0.9195739402840686
9130016M20RIK	NA	0.09082222278353251
9130019O22RIK	NA	0.05259207750116226
9130023H24RIK	NA	0.06478292603348955
9130221H12RIK	NA	0.073547091026869
9130230N09RIK	NA	0.08199421729838537
9230102O04RIK	NA	0.06614663553552025
9230111E07RIK	NA	0.07894166239600037
9230112E08RIK	NA	0.05154248870867347
9230114K14RIK	NA	0.05782131504291486
9230116L04RIK	NA	0.07275277360383586
9330020H09RIK	NA	0.07108660518311447
9330151L19RIK	NA	0.11085063680913433
9430085M18RIK	NA	0.07953025066195615
9530026P05RIK	NA	0.09025351719965731
9530034E10RIK	NA	0.048652915012307334
9530082P21RIK	NA	0.07980441148306855
9630013D21RIK	NA	0.06645232564532004
9930021J03RIK	NA	0.06134690986934089
9930104L06RIK	NA	0.0558765831222731
9930111J21RIK1	NA	0.05162621925044783
9930111J21RIK2	NA	0.06214367142055591
A1CF	0.7381748187911613	0.10395966759864857
A230072C01RIK	NA	0.07249233456367593
A2M	0.3597062417845467	NA
A2ML1	0.49376807392942845	NA
A3GALT2	0.28083443993388	NA
A430018G15RIK	NA	0.050269861125933644
A430033K04RIK	NA	0.063231199632334
A430073D23RIK	NA	0.0864176491437001
A4GALT	0.23505287064091127	0.09222253117109884
A4GNT	NA	0.05366363431333273
A530017D24RIK	NA	0.08537904998850648
A530032D15RIK	NA	0.05280715383402983
A630052C17RIK	NA	0.09316185579169671
A730017L22RIK	NA	0.057734355746486374
A730049H05RIK	NA	0.06697771644984798
A730063M14RIK	NA	0.09186289440024423
A930001C03RIK	NA	0.06478905354517478
A930004D18RIK	NA	0.05569911890276865
A930005H10RIK	NA	0.10042925839540567
A930007A09RIK	NA	0.06851709244407668
A930017K11RIK	NA	0.12737743055571568
AA414768	NA	0.06328389806642457
AA465934	NA	0.17490181925029374
AAAS	0.13039754484473814	0.06716929238850755
AACS	0.18481322936495675	0.2300791562830429
AADAC	NA	0.08121088509540951
AADAT	0.4368765990134894	0.06078369805307164
AAGAB	0.12484653604163569	0.06197093442034505
AAK1	0.19687271438781323	0.06639641553762528
AAMDC	0.21610586031511395	0.0969611855254406
AAMP	0.13562406787269846	0.04846866076219873
AAR2	0.13075643198386944	0.06082624763237508
AARS	NA	0.056837429012085765
AARS1	0.12496093411250182	NA
AARS2	0.14838888178369758	0.04970288728505284
AARSD1	NA	0.09275986558337124
AASDH	0.1572885770972482	NA
AASDHPPT	0.13881972984635063	0.0758463031101992
AASS	0.4419179136538397	0.07819869496049824
AATF	0.1358755769641251	0.0599811662738177
AATK	0.3461838428802709	NA
ABAT	0.372011501247812	0.05460120419249299
ABCA1	0.2973508895360578	0.11115438148430708
ABCA10	0.93382931859096	NA
ABCA13	0.5763818115034395	0.1289551436957557
ABCA2	0.15852667100368437	0.07259202961309306
ABCA3	0.2803289072249477	0.06164605696215133
ABCA4	0.3249306015351833	NA
ABCA5	0.30446466921502496	0.0854275288603036
ABCA6	0.46183463655993184	NA
ABCA7	NA	0.060658405855687866
ABCA8	0.37441370799183804	0.05387166188220072
ABCA8A	NA	0.0870814690343144
ABCA9	0.305519528384385	0.057412647752047574
ABCB1	0.4848317034684461	NA
ABCB10	0.1340367750340811	0.08147502664973744
ABCB1A	NA	0.07716546950189841
ABCB1B	NA	0.06287916834102206
ABCB6	0.2396169547990118	0.08516732618779267
ABCB7	0.1965961359782633	0.052263581316585865
ABCB8	0.14022066702092648	0.06929057263736191
ABCB9	0.19858358850379865	0.06273307974587364
ABCC1	0.17030712032514575	0.05468775164215623
ABCC10	0.1987878785095527	0.08041244554502261
ABCC11	0.8750350743305304	NA
ABCC2	0.4079749204597574	0.08541198719984804
ABCC3	NA	0.0647658171244337
ABCC4	0.26576338216387513	0.10746640635333535
ABCC5	0.20964697199988894	0.05136638399580469
