pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
Hypoxia	53	0.9722	0.7997	0.612
IL-2/STAT5 Signaling	33	1.0	0.9191	0.7603
Infectious Disease	295	1.0	0.7489	0.4566
Influenza Infection	83	1.0	0.7806	0.3766
Influenza Viral RNA Transcription and Replication	72	0.8611	0.7237	0.4677
Innate Immune System	272	1.0	0.8551	0.4386
Inorganic Cation Transmembrane Transport (GO:0098662)	30	1.0	0.8264	0.5544
Insulin signaling pathway	30	1.0	0.8069	-0.0278
Interferon Signaling	54	1.0	0.8518	0.5683
Interleukin-1 Family Signaling	42	0.9444	0.8706	0.2901
Interleukin-1 Signaling	38	0.8889	0.8026	0.0481
Interleukin-12 Family Signaling	34	1.0	0.8777	0.5664
Interleukin-12 Signaling	31	1.0	0.8644	0.5542
Intra-Golgi and Retrograde Golgi-to-ER Traffic	53	0.9444	0.7386	0.6272
Intracellular Protein Transport (GO:0006886)	87	1.0	0.8563	0.2018
Intracellular Signaling by Second Messengers	59	0.9722	0.8265	0.3876
KEAP1-NFE2L2 Pathway	49	1.0	0.7738	0.0476
L13a-mediated Translational Silencing of Ceruloplasmin Expression	82	0.9444	0.7759	0.551
L1CAM Interactions	38	0.9167	0.7171	0.5695
Leishmania Infection	42	1.0	0.7904	0.5719
Lipid and atherosclerosis	31	0.9722	0.6657	0.4213
Lysosome	43	1.0	0.6922	-0.0597
M Phase	93	0.8889	0.7682	0.552
MAPK Family Signaling Cascades	67	0.5278	0.7202	0.7635
MAPK signaling pathway	34	1.0	0.7989	0.184
MAPK1 MAPK3 Signaling	61	0.5278	0.7388	0.7768
MAPK6 MAPK4 Signaling	35	0.8889	0.8162	-0.258
MHC Class II Antigen Presentation	48	1.0	0.6879	0.374
Macroautophagy	39	1.0	0.8402	0.6368
Macromolecule Biosynthetic Process (GO:0009059)	77	1.0	0.7143	0.5602
Major Pathway of rRNA Processing in the Nucleolus and Cytosol	66	0.7222	0.8211	0.6534
Membrane Organization (GO:0061024)	58	1.0	0.821	0.4129
Membrane Trafficking	176	1.0	0.7043	0.2988
Metabolism of Amino Acids and Derivatives	191	1.0	0.9208	0.5154
Metabolism of Carbohydrates	76	1.0	0.8014	0.3126
Metabolism of Lipids	144	1.0	0.9044	0.4044
Metabolism of Nucleotides	39	1.0	0.8794	0.5071
Metabolism of Polyamines	31	0.9444	0.7542	-0.2153
Metabolism of RNA	211	1.0	0.6891	0.3448
Metabolism of Vitamins and Cofactors	61	1.0	0.8143	0.4036
Metabolism of Water-Soluble Vitamins and Cofactors	40	1.0	0.825	0.5216
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	37	0.9167	0.9658	0.7649
Mitochondrial Protein Degradation	57	1.0	0.9254	0.6443
Mitochondrial Protein Import	32	1.0	0.9531	0.6056
Mitochondrion Organization (GO:0007005)	41	1.0	0.9513	0.5767
Mitotic Anaphase	69	0.8611	0.7821	0.5964
Mitotic G1 Phase and G1 S Transition	38	0.8889	0.8281	-0.0989
Mitotic G2-G2 M Phases	58	0.8056	0.7781	0.5833
Mitotic Metaphase and Anaphase	69	0.8611	0.7821	0.5964
Mitotic Prometaphase	38	0.8611	0.7899	0.659
Mitotic Spindle	45	0.9722	0.7988	0.507
Monocarboxylic Acid Metabolic Process (GO:0032787)	36	1.0	0.9256	0.4762
Muscle Contraction	37	1.0	0.9046	0.6847
Myc Targets V1	129	1.0	0.7979	0.2172
Myogenesis	47	0.8889	0.8943	0.737
NIK-->noncanonical NF-kB Signaling	31	0.8889	0.7933	-0.4339
Neddylation	54	0.9167	0.7543	-0.1176
Negative Regulation Of Apoptotic Process (GO:0043066)	88	1.0	0.8905	0.5386
Negative Regulation Of Cell Population Proliferation (GO:0008285)	32	1.0	0.8343	0.4418
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	32	1.0	0.7959	0.5085
Negative Regulation Of Cellular Process (GO:0048523)	64	1.0	0.8766	0.5238
Negative Regulation Of DNA-templated Transcription (GO:0045892)	85	1.0	0.7927	0.4888
Negative Regulation Of Gene Expression (GO:0010629)	54	1.0	0.8115	0.517
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	30	1.0	0.8691	0.5968
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	45	1.0	0.7805	0.2762
Negative Regulation Of Programmed Cell Death (GO:0043069)	79	1.0	0.8759	0.4454
Negative Regulation Of Protein Metabolic Process (GO:0051248)	38	1.0	0.891	0.6456
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	53	1.0	0.845	0.4844
Negative Regulation of NOTCH4 Signaling	30	0.8889	0.8149	-0.3392
Nervous System Development	184	0.8333	0.7423	0.6427
Nervous System Development (GO:0007399)	31	1.0	0.7662	0.5529
Neuronal System	51	1.0	0.8367	0.4272
Neurotransmitter Receptors and Postsynaptic Signal Transmission	35	0.9444	0.7973	0.601
Neutrophil Degranulation	179	1.0	0.8697	0.298
Non-alcoholic fatty liver disease	46	1.0	0.9569	0.6556
