collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	cat_CKD12	0.7631	0.561	-0.2021	0.7683	0.9607	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	cat_CKD34	1.0	0.6883	-0.3117	1.0	1.0	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	cat_med_CKD12	0.7235	0.6763	-0.0472	0.6132	0.9292	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	cat_med_CKD34	0.3527	0.601	0.2484	0.7046	0.9424	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	mouse_5D	-0.4946	0.803	1.2976	-0.0554	0.6564	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	mouse_2W	-0.3943	0.8239	1.2182	0.2149	0.7213	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	mouse_3W	-0.4233	0.7861	1.2094	0.1529	0.7198	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_2h	0.2069	0.7773	0.5704	-0.1588	0.47	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_4h	-0.0385	0.7463	0.7848	-0.0217	0.6035	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_24h	-0.4286	0.8133	1.2418	0.2369	0.7239	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_48h	-0.3433	0.7812	1.1245	0.2149	0.7277	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_72h	-0.2389	0.6095	0.8483	0.2557	0.7616	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_7d	-0.307	0.779	1.086	0.1777	0.7544	False
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	IRI_14d	0.1125	0.7787	0.6662	0.108	0.6979	False
