dataset,module,z,mean_lfc,n_genes
cat_rna_ctx_late,TAL,-1.8912041988247938,-0.7771824961824847,9
cat_rna_ctx_late,CD_principal,-2.384489090819429,-0.6882896818278449,8
cat_rna_ctx_late,CD_intercalated,-4.816257546260517,-1.6281856884906996,9
cat_rna_ctx_late,Osmotic_TonEBP,-0.8887969917335314,-0.06506334365540185,9
cat_rna_ctx_late,Urea_concentration,-2.585366044690517,-0.6961780685655676,9
cat_rna_ctx_late,MR_downstream,0.3475922513039751,0.11065963314587389,11
cat_rna_ctx_late,MR_regulators,,,3
cat_rna_ctx_late,Cell_cycle,3.1040383528241815,0.9950390462928489,10
cat_rna_ctx_late,ER_proteostasis,1.3066338491693483,0.19692244808415985,11
cat_rna_ctx_late,Lysosome,-1.9330488074072825,-0.2369800701546968,13
cat_rna_ctx_late,Redox_ferroptosis,-1.520873929232118,-0.20059498441072188,13
cat_rna_ctx_late,Ciliogenesis,1.2961269750837923,0.7126164997532994,7
cat_rna_ctx_late,Matrix_integrin,4.603465089980522,0.963318482631193,13
cat_rna_ctx_prog,ECM_fibrosis,9.071212956407175,0.9003208603285687,34
cat_rna_ctx_prog,Complement,4.9881182567287405,0.473954329149698,20
cat_rna_ctx_prog,Innate_immune,1.5665228970117075,0.14054274123202665,21
cat_rna_ctx_prog,Lymphocyte,0.16365860488244607,0.059875958007434685,13
cat_rna_ctx_prog,B_plasma,0.2486542743759544,0.08621424178572382,5
cat_rna_ctx_prog,T_cell,-0.81096265207836,-0.02950556490518963,6
cat_rna_ctx_prog,Osteoclast_like_Mac,-3.366030761106343,-0.7340512608423279,12
cat_rna_ctx_prog,Tubular_injury,4.24329565881315,0.881053747211652,13
cat_rna_ctx_prog,OXPHOS,-5.667870308137775,-0.32054085387871434,21
cat_rna_ctx_prog,FAO_PPARA,-4.366200509893337,-0.3026734101128452,18
cat_rna_ctx_prog,Glycolysis,-0.7228440027698776,-0.04587258751103281,13
cat_rna_ctx_prog,Hypoxia,0.9527361542015975,0.27935145630241237,12
cat_rna_ctx_prog,PT_transport,-5.142805678996977,-0.8042422016710618,17
cat_rna_ctx_prog,Podocyte,-1.841969766981319,-0.15643877827230399,12
cat_rna_ctx_prog,TAL,-2.989576022578508,-0.7978723822901786,9
cat_rna_ctx_prog,CD_principal,-1.9130726709181576,-0.3952565421291092,8
cat_rna_ctx_prog,CD_intercalated,-4.5608346467880185,-0.8750188882401341,9
cat_rna_ctx_prog,Osmotic_TonEBP,-1.5630646636922647,-0.1562620573030686,9
cat_rna_ctx_prog,Urea_concentration,-3.061225537799083,-0.7053243337950958,9
cat_rna_ctx_prog,MR_downstream,1.0407773142039354,0.04813745160801763,11
cat_rna_ctx_prog,MR_regulators,,,3
cat_rna_ctx_prog,Cell_cycle,2.4586592749004095,0.31038385471786356,10
cat_rna_ctx_prog,ER_proteostasis,-0.25106757574599203,-1.171380773421695e-05,11
cat_rna_ctx_prog,Lysosome,-2.2013842297121182,-0.13330983229757754,13
cat_rna_ctx_prog,Redox_ferroptosis,-1.7248367555456017,-0.14508164484559927,13
cat_rna_ctx_prog,Ciliogenesis,2.104493967245877,0.6889195942669979,7
cat_rna_ctx_prog,Matrix_integrin,5.762298660378524,0.8575153781752439,13
cat_rna_med_early,ECM_fibrosis,6.360331135861444,0.7867277464551821,34
cat_rna_med_early,Complement,3.817020804373832,0.657578608206731,20
cat_rna_med_early,Innate_immune,6.92850693527447,1.3827697985952936,21
cat_rna_med_early,Lymphocyte,4.097789270621007,1.031285555978174,13
cat_rna_med_early,B_plasma,-1.4987103565025337,-0.4204003517371374,5
cat_rna_med_early,T_cell,4.028197483025901,1.6946027920237856,6
cat_rna_med_early,Osteoclast_like_Mac,4.577910547102967,1.9545065296969184,11
cat_rna_med_early,Tubular_injury,4.114843595510447,0.9905691574221256,13
cat_rna_med_early,OXPHOS,-5.658375978094579,-0.6773894047728864,21
cat_rna_med_early,FAO_PPARA,-5.366272811702941,-1.0696170623790944,17
