n_iri,n_states,n_pairs,iri_set,rho_model,rho_entry,rho_time
6,11,55,IRI4h+IRI24h+IRI7d+IRI14d+IRI28d+IRI12m,0.07707644173547733,0.004618949962280777,0.5175456147547706
6,11,55,IRI4h+IRI48h+IRI72h+IRI7d+IRI14d+IRI28d,0.13247513423285165,0.03233264973596544,0.5288385862476077
6,11,55,IRI4h+IRI48h+IRI72h+IRI7d+IRI14d+IRI12m,0.130066495428618,0.041570549660527,0.4293422795484259
6,11,55,IRI4h+IRI48h+IRI72h+IRI7d+IRI28d+IRI12m,0.06262460891007535,-0.0023094749811403887,0.5351086219076411
6,11,55,IRI4h+IRI48h+IRI72h+IRI14d+IRI28d+IRI12m,0.03131230445503767,-0.05311792456622894,0.46915099965114226
6,11,55,IRI4h+IRI48h+IRI7d+IRI14d+IRI28d+IRI12m,0.11561466260321601,0.03695159969824622,0.48899161660405344
6,11,55,IRI4h+IRI72h+IRI7d+IRI14d+IRI28d+IRI12m,0.11079738499474867,0.0207852748302635,0.5340068641835616
6,11,55,IRI24h+IRI48h+IRI72h+IRI7d+IRI14d+IRI28d,0.28181074009533896,0.1270211239627214,0.1876760196924662
6,11,55,IRI24h+IRI48h+IRI72h+IRI7d+IRI14d+IRI12m,0.23122932520643202,0.10854532411359828,0.1899485892117826
6,11,55,IRI24h+IRI48h+IRI72h+IRI7d+IRI28d+IRI12m,0.21196021477256266,0.09237899924561556,0.30109157620472077
6,11,55,IRI24h+IRI48h+IRI72h+IRI14d+IRI28d+IRI12m,0.11561466260321601,-0.0069284249434211674,0.22971830738906462
6,11,55,IRI24h+IRI48h+IRI7d+IRI14d+IRI28d+IRI12m,0.22400340879373098,0.11085479909473868,0.24380916272416173
6,11,55,IRI24h+IRI72h+IRI7d+IRI14d+IRI28d+IRI12m,0.1975083819471607,0.07159372441535206,0.274884089325932
6,11,55,IRI48h+IRI72h+IRI7d+IRI14d+IRI28d+IRI12m,0.26254162966146966,0.12933059894386176,0.23734934092030227
9,14,91,IRI2h+IRI4h+IRI24h+IRI48h+IRI72h+IRI7d+IRI14d+IRI28d+IRI12m,0.043829217243428385,-0.019143756814016144,0.5528900273599696
