dataset,term,z,mean_lfc,n_genes
cat_rna_ctx_late,Axon Development (GO:0061564),0.1123459262330974,0.07150478902948929,67
cat_rna_ctx_late,Axon Extension (GO:0048675),-1.0644830840939141,-0.10281880093032852,21
cat_rna_ctx_late,Axon Guidance (GO:0007411),2.306938374797439,0.19446254102066104,117
cat_rna_ctx_late,Axonal Fasciculation (GO:0007413),0.5494092019275207,0.038690238944921664,12
cat_rna_ctx_late,Axonal Transport (GO:0098930),-0.4921098188684948,-0.015631614785116914,37
cat_rna_ctx_late,Axonal Transport Of Mitochondrion (GO:0019896),-1.3528736323670414,-0.12878745184968843,10
cat_rna_ctx_late,Axonemal Dynein Complex Assembly (GO:0070286),1.564528143152091,0.3753111189394767,25
cat_rna_ctx_late,Axoneme Assembly (GO:0035082),0.1615339049569803,0.15806384798294207,26
cat_rna_ctx_late,Axonogenesis (GO:0007409),1.9247757984968363,0.1733886805827904,147
cat_rna_ctx_late,Barbed-End Actin Filament Capping (GO:0051016),1.318260156251279,0.2916458445670288,15
cat_rna_ctx_late,Base-Excision Repair (GO:0006284),-0.7890593874846485,-0.019573420015970847,31
cat_rna_ctx_late,"Base-Excision Repair, AP Site Formation (GO:0006285)",-0.5748031697945164,-0.09164299766161514,10
cat_rna_ctx_late,"Base-Excision Repair, Gap-Filling (GO:0006287)",1.2623275463726977,0.24570001118689308,12
cat_rna_ctx_late,Basement Membrane Organization (GO:0071711),1.4271374209415755,0.27821135151441645,10
cat_rna_ctx_late,Bicarbonate Transport (GO:0015701),-1.6450907293937274,-0.5471736873741366,11
cat_rna_ctx_late,Bicellular Tight Junction Assembly (GO:0070830),1.0055160139173542,0.27865615850169073,37
