collection	pathway	n_genes	IRI_12mo	IRI_14d	IRI_24h	IRI_28d	IRI_2h	IRI_48h	IRI_4h	IRI_72h	IRI_7d	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_2W	mouse_3W	mouse_5D
GO_BP	Positive Regulation Of Apoptotic Process (GO:0043065)	40	0.6397	0.656	0.6521	0.6661	0.3785	0.6742	0.0982	0.6984	0.6592	0.9223	1.0	0.88	0.8392	0.6308	0.6463	0.504
GO_BP	Positive Regulation Of Cell Differentiation (GO:0045597)	32	0.6664	0.5811	0.503	0.5497	0.0435	0.5889	0.1438	0.6103	0.6226	0.9474	1.0	0.4556	0.8389	0.6305	0.6213	0.6935
GO_BP	Positive Regulation Of Cell Migration (GO:0030335)	48	0.82	0.7783	0.5727	0.7661	0.4289	0.724	0.3995	0.7449	0.7758	0.9178	1.0	0.6662	0.8073	0.6385	0.6449	0.549
GO_BP	Positive Regulation Of Cell Motility (GO:2000147)	39	0.8114	0.766	0.576	0.7357	0.3781	0.7257	0.3349	0.7256	0.7652	0.9004	1.0	0.661	0.8273	0.5949	0.6233	0.5026
GO_BP	Positive Regulation Of Cell Population Proliferation (GO:0008284)	58	0.4949	0.5456	0.2177	0.4884	0.2613	0.3586	0.1635	0.4223	0.5038	0.9295	1.0	0.5882	0.8503	0.4888	0.4521	0.4565
GO_BP	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	38	0.6657	0.5647	0.6423	0.6324	0.2617	0.6964	0.2247	0.6853	0.6431	0.9474	1.0	0.755	0.8722	0.627	0.6716	0.5231
GO_BP	Positive Regulation Of Cellular Process (GO:0048522)	82	0.6649	0.6561	0.6189	0.704	0.301	0.6616	0.3906	0.6527	0.6824	0.9044	1.0	0.6348	0.8078	0.6076	0.578	0.4785
GO_BP	Positive Regulation Of Cytokine Production (GO:0001819)	36	0.5493	0.5232	0.3094	0.5517	-0.0373	0.3738	0.1034	0.4462	0.5975	0.9489	1.0	0.6934	0.8999	0.608	0.5429	0.4944
GO_BP	Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	31	0.5683	0.6517	0.5037	0.6123	0.1068	0.5941	0.3329	0.6623	0.7157	0.938	1.0	0.8139	0.9395	0.734	0.7293	0.6715
GO_BP	Positive Regulation Of DNA-templated Transcription (GO:0045893)	108	0.6511	0.5434	0.5284	0.6524	0.0271	0.6456	0.3024	0.6793	0.657	0.9459	1.0	0.719	0.8975	0.6206	0.6397	0.6159
GO_BP	Positive Regulation Of Developmental Process (GO:0051094)	32	0.7459	0.4507	0.2211	0.6683	-0.1236	0.3645	0.098	0.5012	0.5237	0.9222	1.0	0.6591	0.7334	0.467	0.443	0.1814
GO_BP	Positive Regulation Of Gene Expression (GO:0010628)	70	0.5889	0.5798	0.4289	0.5936	0.3124	0.5471	0.3862	0.6126	0.6287	0.9481	1.0	0.6641	0.8688	0.6039	0.5782	0.5578
GO_BP	Positive Regulation Of Intracellular Protein Transport (GO:0090316)	30	0.7312	0.5835	0.3983	0.6906	0.2494	0.5833	0.3953	0.6505	0.6277	0.9475	1.0	0.8282	0.8932	0.5854	0.575	0.4111
GO_BP	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	76	0.6046	0.6049	0.4439	0.6144	0.2939	0.595	0.2073	0.6432	0.6657	0.9346	1.0	0.7792	0.8379	0.6585	0.6275	0.5623
GO_BP	Positive Regulation Of MAPK Cascade (GO:0043410)	30	0.7906	0.7247	0.8169	0.7485	0.1317	0.815	0.2901	0.8309	0.8393	0.8763	1.0	0.6775	0.8594	0.7912	0.7833	0.7127
GO_BP	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	49	0.6182	0.6245	0.4236	0.5916	0.4026	0.5498	0.433	0.6243	0.6596	0.9521	1.0	0.6623	0.8931	0.6387	0.622	0.5817
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	48	0.659	0.5828	0.6581	0.6503	-0.1548	0.6819	0.2054	0.669	0.6681	0.9199	1.0	0.7755	0.9314	0.7419	0.7053	0.557
