pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	61	0.9167	0.6991	0.317
Unfolded Protein Response	31	1.0	0.8298	0.0888
Valine, leucine and isoleucine degradation	37	1.0	0.9442	0.8333
Vesicle-Mediated Transport (GO:0016192)	83	1.0	0.8081	0.3365
Viral carcinogenesis	36	0.9722	0.8717	0.6645
Xenobiotic Metabolism	71	1.0	0.8874	0.4832
Yersinia infection	34	0.4444	0.6646	0.7524
heme Metabolism	47	1.0	0.877	0.3792
mRNA Processing (GO:0006397)	61	1.0	0.6207	0.3485
mRNA Splicing, Via Spliceosome (GO:0000398)	61	1.0	0.6419	0.239
mTORC1 Signaling	91	1.0	0.8844	0.3757
p53 Pathway	33	1.0	0.8904	0.4389
protein-RNA Complex Assembly (GO:0022618)	45	0.9722	0.6493	0.195
