collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_28d	0.612	0.9373	0.3253	0.0395	0.746	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_12mo	0.7353	0.8552	0.1198	-0.0007	0.7354	False
GO_BP	Cellular Respiration (GO:0045333)	45	cat_CKD12	0.9551	0.8569	-0.0981	0.7683	0.9607	False
GO_BP	Cellular Respiration (GO:0045333)	45	cat_CKD34	1.0	0.9667	-0.0333	1.0	1.0	False
GO_BP	Cellular Respiration (GO:0045333)	45	cat_med_CKD12	0.9734	0.9472	-0.0262	0.6132	0.9292	True
GO_BP	Cellular Respiration (GO:0045333)	45	cat_med_CKD34	0.9333	0.8173	-0.116	0.7046	0.9424	False
GO_BP	Cellular Respiration (GO:0045333)	45	mouse_5D	0.4669	0.8319	0.365	-0.0554	0.6564	False
GO_BP	Cellular Respiration (GO:0045333)	45	mouse_2W	0.9467	0.9789	0.0322	0.2149	0.7213	True
GO_BP	Cellular Respiration (GO:0045333)	45	mouse_3W	0.6381	0.6954	0.0573	0.1529	0.7198	False
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_2h	0.3318	0.903	0.5712	-0.1588	0.47	False
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_4h	0.7163	0.9194	0.2031	-0.0217	0.6035	True
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_24h	0.939	0.9779	0.0389	0.2369	0.7239	True
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_48h	0.4676	0.7952	0.3276	0.2149	0.7277	False
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_72h	0.87	0.8078	-0.0622	0.2557	0.7616	True
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_7d	0.9041	0.9539	0.0498	0.1777	0.7544	True
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_14d	0.8236	0.9541	0.1306	0.108	0.6979	True
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_28d	0.9529	0.8836	-0.0693	0.0395	0.746	True
GO_BP	Cellular Respiration (GO:0045333)	45	IRI_12mo	-0.1593	0.6739	0.8332	-0.0007	0.7354	False
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	cat_CKD12	0.9451	0.9059	-0.0392	0.7733	0.97	False
