groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
KRT18	TMEM184C	0.603849	0.60388
VPS4B	PARP3	0.604767	0.604897
LEMD2	SLC25A48	0.605126	0.605188
LIMS1	EBAG9	0.605333	0.605382
NT5C3A	ANAPC16	0.605439	0.605469
WDFY1	NPHP1	0.605847	0.60582
PSMD5	USP25	0.605967	0.606001
PDLIM5	IDNK	0.607441	0.607452
EXOC3	TRAPPC6B	0.60934	0.609576
PPME1	MAP2K7	0.609461	0.609778
VCL	POLE3	0.609607	0.609992
APIP	PPP1R2	0.610328	0.610192
TSFM	EIF2B2	0.610378	0.610467
IMPA1	SCAMP5	0.610899	0.610872
ERH	USP34	0.611051	0.611068
SNX12	ZC3H11A	0.611141	0.611032
PLEKHA7	KLHDC7A	0.612131	0.612059
BSND	PNN	0.612839	0.612727
RNPEP	TRAF7	0.613341	0.613323
ECHDC1	CERS6	0.613362	0.61349
BDH1	KMT2A	0.614017	0.61392
CRKL	FKBP15	0.614028	0.613887
MRPS34	ATF6B	0.615301	0.61541
TXNRD2	PPP1R12C	0.615928	0.615844
FKBP3	TNFAIP8	0.616552	0.616437
ACTR10	NPRL2	0.616892	0.616887
COQ5	NGLY1	0.616984	0.616781
TIMMDC1	HDAC5	0.617054	0.617203
SCARB2	NUDCD3	0.61741	0.617484
SF3A1	VPS33A	0.617673	0.61766
ITGA1	STX4	0.617805	0.617817
HSPH1	CD47	0.619518	0.619549
HDHD2	SIN3B	0.619656	0.619586
SCRIB	PPP2R5D	0.620294	0.620304
ANKFY1	CLN5	0.623556	0.623568
RHOT1	HOXA10	0.62452	0.624601
MSI2	MAPK1IP1L	0.624787	0.624766
STAT5B	PAF1	0.625249	0.625301
SRSF1	VPS52	0.626569	0.626519
CLPB	NCBP1	0.627027	0.627003
ZYX	TMEM242	0.627242	0.627316
ILF2	KANSL1L	0.627768	0.627773
RDH14	KCTD10	0.62831	0.628286
PLAA	FBXO7	0.628387	0.628421
STRN3	CLCN5	0.628511	0.628492
RABGGTA	YIF1B	0.628548	0.628555
GNMT	LRRC8D	0.628711	0.628804
MTDH	GIGYF2	0.629066	0.629018
RRAS2	UBR2	0.630097	0.629989
CYFIP1	PREB	0.630494	0.630662
OLA1	FBXO44	0.631446	0.631484
EPHX1	ATG101	0.631876	0.631884
TMX1	MDM2	0.632788	0.632759
TPRKB	SMIM15	0.63298	0.632983
GLOD4	CERS5	0.633011	0.632869
CALD1	SLC25A25	0.633321	0.633262
TOM1	HNF1A	0.633676	0.633792
ITGA6	HCFC1	0.633777	0.633844
UBA3	PTPN1	0.63386	0.633848
CAPN1	TMEM234	0.634055	0.634416
NID1	FAF1	0.634351	0.634845
GOLGB1	COBL	0.635703	0.635887
SLC5A8	TDRP	0.635718	0.635923
ENPP3	YIPF5	0.635789	0.635512
CTNND1	FOXO4	0.63615	0.636226
MAPRE2	UBQLN2	0.636491	0.636449
PPP6C	PPP1R21	0.636898	0.63689
MAP2K4	SLC5A6	0.637921	0.637873
PYGB	ESRP2	0.638378	0.638377
CNPY3	RAB29	0.638663	0.63866
MYH10	TPGS1	0.638885	0.638955
EXOC7	CCZ1	0.639078	0.63911
SMS	REEP3	0.639134	0.639188
BUB3	SNX19	0.639428	0.639419
CAND1	CHMP2B	0.639538	0.63949
EHD4	DNAJC4	0.639563	0.639303
BLVRA	ZNF664	0.640077	0.64017
PRMT5	SLC39A9	0.640465	0.640471
DDX46	PNKP	0.640569	0.640534
TRA2B	SALL1	0.641188	0.641236
ZKSCAN1	GALC	0.64143	0.641468
MAPRE1	DEPDC7	0.641682	0.64167
XRCC5	ZRANB2	0.641945	0.641951
CCAR2	SUOX	0.641997	0.642062
ASPH	GTF2F1	0.642076	0.6422
PABPN1	NSUN2	0.642982	0.642989
SAE1	RARS2	0.643705	0.643747
MRPL45	A1CF	0.643769	0.643647
TJP1	ARHGEF7	0.644147	0.644138
PCNA	ERF	0.64432	0.644309
