raw	centred	drop
0.78472	0.47863	0.30609
0.85791	0.49199	0.36592
0.78365	0.84402	-0.06036
0.80823	0.54808	0.26015
0.82906	0.53953	0.28953
0.85577	0.57318	0.28259
0.87927	0.50053	0.37874
0.80021	0.48237	0.31784
0.76122	0.64316	0.11806
0.8344	0.47543	0.35897
0.90759	0.48771	0.41987
0.7078	0.53526	0.17254
0.85844	0.48451	0.37393
0.82853	0.63889	0.18964
0.77831	0.57158	0.20673
0.7922	0.47115	0.32105
0.77083	0.51122	0.25962
0.84081	0.52244	0.31838
0.81143	0.52671	0.28472
0.81677	0.42895	0.38782
0.8953	0.51015	0.38515
0.88996	0.50053	0.38942
0.8937	0.57425	0.31944
0.83066	0.46902	0.36165
0.88141	0.48237	0.39904
0.84028	0.48665	0.35363
0.89103	0.44712	0.44391
0.89637	0.49573	0.40064
0.72917	0.77778	-0.04861
0.84188	0.461	0.38088
0.81143	0.44658	0.36485
0.8563	0.40331	0.45299
0.80449	0.56357	0.24092
0.89103	0.48878	0.40224
0.789	0.47596	0.31303
0.85096	0.49893	0.35203
0.79487	0.62393	0.17094
0.84776	0.44177	0.40598
0.75374	0.6047	0.14904
0.75801	0.53098	0.22703
0.85524	0.50641	0.34882
0.78045	0.85791	-0.07746
0.87714	0.47329	0.40385
0.81624	0.75374	0.0625
0.8125	0.42147	0.39103
0.76442	0.44071	0.32372
0.80876	0.54647	0.26229
0.8328	0.5219	0.3109
0.87179	0.49359	0.37821
0.80716	0.4797	0.32746
0.84241	0.51442	0.32799
0.83066	0.49786	0.3328
0.82746	0.63462	0.19284
0.89209	0.49679	0.3953
0.88568	0.51549	0.37019
0.81944	0.59081	0.22863
0.79167	0.69979	0.09188
0.83814	0.63568	0.20246
0.75321	0.53632	0.21688
0.82425	0.46474	0.35951
0.89209	0.50694	0.38515
0.80075	0.50267	0.29808
0.90064	0.45246	0.44818
0.84081	0.53365	0.30716
0.89744	0.46902	0.42842
0.89156	0.50107	0.39049
0.75748	0.56517	0.19231
0.80929	0.50481	0.30449
0.84188	0.48558	0.3563
0.84882	0.65171	0.19712
0.81517	0.64583	0.16934
0.73985	0.64049	0.09936
0.81517	0.52778	0.28739
0.77938	0.73504	0.04434
0.7906	0.67094	0.11966
0.76442	0.61752	0.1469
0.72436	0.61645	0.10791
0.85256	0.5203	0.33226
0.80342	0.74199	0.06143
0.81998	0.50588	0.3141
0.80128	0.60203	0.19925
0.83226	0.48237	0.34989
0.89744	0.61645	0.28098
0.80075	0.52618	0.27457
0.89476	0.51549	0.37927
0.74359	0.66934	0.07425
0.87874	0.63141	0.24733
0.83494	0.41827	0.41667
0.81036	0.57799	0.23237
0.88782	0.59135	0.29647
0.86218	0.55662	0.30556
0.90491	0.53098	0.37393
0.82532	0.67788	0.14744
0.83387	0.5219	0.31197
0.78098	0.55128	0.2297
0.81677	0.42682	0.38996
0.69658	0.58066	0.11592
0.7516	0.72596	0.02564
0.76496	0.48718	0.27778
0.89583	0.47222	0.42361
0.84028	0.57158	0.2687
0.875	0.5219	0.3531
0.84241	0.61806	0.22436
0.86004	0.60951	0.25053
0.8125	0.58226	0.23024
0.89797	0.50214	0.39583
0.82212	0.57959	0.24252
0.79327	0.58387	0.2094
0.81036	0.47436	0.336
0.76656	0.49092	0.27564
0.82746	0.41987	0.40759
0.72596	0.48825	0.23771
0.77083	0.49412	0.27671
0.85096	0.50855	0.34241
0.89797	0.47276	0.42521
0.83707	0.4765	0.36058
0.71314	0.74733	-0.03419
0.80449	0.52457	0.27991
0.88088	0.62286	0.25801
0.86912	0.5438	0.32532
0.75321	0.56036	0.19284
0.84776	0.51389	0.33387
0.82318	0.50107	0.32212
0.76122	0.50481	0.25641
0.80075	0.54541	0.25534
0.87393	0.47329	0.40064
0.89423	0.51282	0.38141
0.82853	0.53686	0.29167
0.82212	0.54434	0.27778
0.80128	0.50694	0.29434
0.8969	0.43323	0.46368
0.74893	0.65224	0.09669
0.89049	0.46528	0.42521
0.81677	0.48291	0.33387
0.9156	0.50641	0.40919
0.79487	0.69925	0.09562
0.80288	0.42361	0.37927
0.83974	0.47062	0.36912
0.8937	0.52244	0.37126
0.8344	0.56571	0.2687
0.86859	0.55128	0.31731
0.91026	0.61111	0.29915
0.79915	0.47863	0.32051
0.75321	0.5187	0.23451
0.89637	0.51068	0.38568
0.89583	0.45833	0.4375
0.85951	0.55609	0.30342
0.70406	0.46421	0.23985
0.89637	0.48771	0.40865
0.80395	0.4813	0.32265
0.76282	0.6437	0.11912
0.73397	0.69231	0.04167
0.80769	0.57799	0.2297
0.89423	0.5641	0.33013
0.85524	0.54594	0.30929
0.79861	0.62714	0.17147
0.81036	0.50641	0.30395
0.82318	0.44498	0.37821
0.8515	0.49786	0.35363
0.7938	0.49092	0.30288
0.75962	0.57853	0.18109
0.81197	0.57906	0.23291
0.89957	0.43162	0.46795
0.84562	0.6437	0.20192
0.81891	0.52831	0.2906
0.86645	0.52137	0.34509
0.79647	0.58173	0.21474
0.87874	0.47703	0.40171
0.79006	0.54113	0.24893
0.83921	0.5203	0.31891
0.79487	0.55556	0.23932
0.84295	0.47009	0.37286
0.87233	0.48932	0.38301
0.80876	0.63782	0.17094
0.81357	0.51175	0.30182
0.80288	0.55395	0.24893
0.80235	0.59669	0.20566
0.87714	0.47863	0.3985
0.80983	0.539	0.27083
0.79274	0.55716	0.23558
0.76763	0.48718	0.28045
