a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
IRI_2h	IRI_48h	0.2	0.1715	within_dataset	iri	iri	True		0.8649	0.7083	0.9183	0.2313	0.2178	0.2824	False	0.7749	0.8719		True
IRI_2h	IRI_72h	0.2099	0.1657	within_dataset	iri	iri	True		0.8104	0.6622	0.8995	0.259	0.2334	0.317	False	0.6904	0.8168		True
IRI_2h	IRI_7d	0.3085	0.336	within_dataset	iri	iri	True		0.8763	0.7202	0.924	0.3521	0.3339	0.4284	False	0.7958	0.8842		True
IRI_2h	IRI_14d	0.5808	0.6241	within_dataset	iri	iri	True		0.8528	0.7076	0.9126	0.6811	0.6365	0.8209	False	0.7643	0.8654		True
IRI_2h	IRI_28d	0.2244	0.2189	within_dataset	iri	iri	True		0.8315	0.6244	0.8987	0.2699	0.2497	0.3594	False	0.7243	0.8399		True
IRI_2h	IRI_12mo	0.2694	0.3037	within_dataset	iri	iri	False		0.8188	0.6572	0.883	0.3291	0.3051	0.41	False	0.7052	0.8272		False
IRI_4h	IRI_24h	0.3214	0.3327	within_dataset	iri	iri	True		0.9314	0.7915	0.9558	0.345	0.3362	0.406	False	0.8729	0.9316		True
IRI_4h	IRI_48h	0.3303	0.3295	within_dataset	iri	iri	True		0.9142	0.7718	0.9453	0.3613	0.3494	0.4279	False	0.8411	0.9136		True
IRI_4h	IRI_72h	0.382	0.3745	within_dataset	iri	iri	True		0.8561	0.7159	0.9259	0.4462	0.4126	0.5336	False	0.7494	0.8559		True
IRI_4h	IRI_7d	0.3496	0.3875	within_dataset	iri	iri	True		0.9249	0.7848	0.9497	0.378	0.3681	0.4454	False	0.8638	0.9265		True
IRI_4h	IRI_14d	0.2866	0.3241	within_dataset	iri	iri	True		0.9016	0.7618	0.9341	0.3178	0.3068	0.3762	False	0.8296	0.9068		True
IRI_4h	IRI_28d	0.2334	0.2234	within_dataset	iri	iri	True		0.8779	0.6442	0.9232	0.2658	0.2528	0.3623	False	0.7862	0.8801		True
IRI_4h	IRI_12mo	0.246	0.2835	within_dataset	iri	iri	False		0.8638	0.7203	0.9117	0.2847	0.2698	0.3415	False	0.7655	0.8667		False
IRI_24h	IRI_48h	0.8205	0.7558	within_dataset	iri	iri	True		0.9459	0.8774	0.9704	0.8674	0.8455	0.9351	False	0.8996	0.947		True
IRI_24h	IRI_72h	0.7403	0.675	within_dataset	iri	iri	True		0.8829	0.7705	0.9524	0.8385	0.7773	0.9608	False	0.8015	0.8873		True
IRI_24h	IRI_7d	0.7621	0.7414	within_dataset	iri	iri	True		0.9575	0.8869	0.9731	0.796	0.7832	0.8593	False	0.9238	0.9604		True
IRI_24h	IRI_14d	0.569	0.579	within_dataset	iri	iri	True		0.9346	0.8322	0.9607	0.6088	0.5922	0.6837	False	0.8873	0.94		True
IRI_24h	IRI_28d	0.6329	0.6574	within_dataset	iri	iri	True		0.9062	0.67	0.952	0.6984	0.6648	0.9446	False	0.8409	0.9123		True
IRI_24h	IRI_12mo	0.5289	0.5107	within_dataset	iri	iri	False		0.8967	0.8144	0.9332	0.5898	0.5667	0.6494	False	0.8187	0.8985		False
IRI_48h	IRI_72h	0.8942	0.8493	within_dataset	iri	iri	True		0.8691	0.76	0.9434	1.0288	0.9478	1.1766	True	0.7723	0.8701		True
IRI_48h	IRI_7d	0.7768	0.7478	within_dataset	iri	iri	True		0.9385	0.8664	0.9636	0.8277	0.8061	0.8966	False	0.8902	0.9419		True
IRI_48h	IRI_14d	0.5517	0.5133	within_dataset	iri	iri	True		0.9151	0.8289	0.9493	0.6029	0.5812	0.6656	False	0.855	0.9218		True
IRI_48h	IRI_28d	0.5775	0.5332	within_dataset	iri	iri	True		0.8912	0.664	0.9425	0.648	0.6127	0.8697	False	0.8103	0.8947		True
IRI_48h	IRI_12mo	0.6328	0.6351	within_dataset	iri	iri	False		0.8749	0.801	0.9262	0.7233	0.6832	0.79	False	0.7889	0.8811		False
IRI_72h	IRI_7d	0.7952	0.7531	within_dataset	iri	iri	True		0.8789	0.7667	0.9476	0.9048	0.8392	1.0372	False	0.7931	0.8824		True
IRI_72h	IRI_14d	0.5732	0.5443	within_dataset	iri	iri	True		0.8564	0.7513	0.9329	0.6692	0.6144	0.7629	False	0.7618	0.8637		True
IRI_72h	IRI_28d	0.6403	0.6064	within_dataset	iri	iri	True		0.8355	0.6296	0.9239	0.7663	0.6931	1.017	False	0.7219	0.8382		True
IRI_72h	IRI_12mo	0.5705	0.519	within_dataset	iri	iri	False		0.8232	0.7277	0.9069	0.6929	0.629	0.7839	False	0.7029	0.8255		False
IRI_7d	IRI_14d	0.789	0.7603	within_dataset	iri	iri	True		0.9267	0.8406	0.9529	0.8515	0.828	0.9386	False	0.878	0.9349		True
IRI_7d	IRI_28d	0.8043	0.7165	within_dataset	iri	iri	True		0.8997	0.6663	0.9476	0.894	0.8488	1.2072	False	0.8321	0.9074		True
IRI_7d	IRI_12mo	0.7344	0.6962	within_dataset	iri	iri	False		0.8876	0.819	0.9289	0.8273	0.7906	0.8967	False	0.8102	0.8936		False
IRI_14d	IRI_28d	0.7742	0.7397	within_dataset	iri	iri	True		0.8791	0.6545	0.9313	0.8806	0.8313	1.183	False	0.7992	0.8881		True
IRI_14d	IRI_12mo	0.6459	0.5596	within_dataset	iri	iri	False		0.8634	0.7835	0.9142	0.7481	0.7066	0.8244	False	0.7781	0.8746		False
IRI_28d	IRI_12mo	0.6105	0.4232	within_dataset	iri	iri	False		0.8405	0.6407	0.9075	0.7263	0.6728	0.9529	False	0.7374	0.8488		False
